Shift ID,Nurse ID,Date,Scheduled,Hours_Worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0029,N0014,2-Mar,TRUE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0030,N0015,2-Mar,TRUE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0031,N0001,3-Mar,TRUE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0032,N0002,3-Mar,TRUE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0033,N0003,3-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0034,N0004,3-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0035,N0005,3-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0036,N0006,3-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0037,N0007,3-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0038,N0008,3-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0039,N0009,3-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0040,N0010,3-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0041,N0011,3-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0042,N0012,3-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0043,N0013,3-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0044,N0014,3-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0045,N0015,3-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0046,N0001,4-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0047,N0002,4-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0048,N0003,4-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0049,N0004,4-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0050,N0005,4-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0051,N0006,4-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0052,N0007,4-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0053,N0008,4-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0054,N0009,4-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0055,N0010,4-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0056,N0011,4-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0057,N0012,4-Mar,TRUE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0058,N0013,4-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0059,N0014,4-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0060,N0015,4-Mar,TRUE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0061,N0001,5-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0062,N0002,5-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0063,N0003,5-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0064,N0004,5-Mar,TRUE,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0065,N0005,5-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0066,N0006,5-Mar,TRUE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0067,N0007,5-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0068,N0008,5-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0069,N0009,5-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0070,N0010,5-Mar,TRUE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0071,N0011,5-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0072,N0012,5-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0073,N0013,5-Mar,TRUE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0074,N0014,5-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0075,N0015,5-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0076,N0001,6-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0077,N0002,6-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0078,N0003,6-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0079,N0004,6-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0080,N0005,6-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0081,N0006,6-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0082,N0007,6-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0083,N0008,6-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0084,N0009,6-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0085,N0010,6-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0086,N0011,6-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0087,N0012,6-Mar,TRUE,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0088,N0013,6-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0089,N0014,6-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0090,N0015,6-Mar,TRUE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0091,N0001,7-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0092,N0002,7-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0093,N0003,7-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0094,N0004,7-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0095,N0005,7-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0096,N0006,7-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0097,N0007,7-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0098,N0008,7-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0099,N0009,7-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0100,N0010,7-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0101,N0011,7-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0102,N0012,7-Mar,TRUE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0103,N0013,7-Mar,TRUE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0104,N0014,7-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0105,N0015,7-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0106,N0001,8-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0107,N0002,8-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0108,N0003,8-Mar,TRUE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0109,N0004,8-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0110,N0005,8-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0111,N0006,8-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0112,N0007,8-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0113,N0008,8-Mar,TRUE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0114,N0009,8-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0115,N0010,8-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0116,N0011,8-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0117,N0012,8-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0118,N0013,8-Mar,TRUE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0119,N0014,8-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0120,N0015,8-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0121,N0001,9-Mar,TRUE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0122,N0002,9-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0123,N0003,9-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0124,N0004,9-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0125,N0005,9-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0126,N0006,9-Mar,TRUE,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0127,N0007,9-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0128,N0008,9-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0129,N0009,9-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0130,N0010,9-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0131,N0011,9-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0132,N0012,9-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0133,N0013,9-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0134,N0014,9-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0135,N0015,9-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0136,N0001,10-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0137,N0002,10-Mar,TRUE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0138,N0003,10-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0139,N0004,10-Mar,TRUE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0140,N0005,10-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0141,N0006,10-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0142,N0007,10-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0143,N0008,10-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0144,N0009,10-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0145,N0010,10-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0146,N0011,10-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0147,N0012,10-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0148,N0013,10-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0149,N0014,10-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0150,N0015,10-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0151,N0001,11-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0152,N0002,11-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0153,N0003,11-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0154,N0004,11-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0155,N0005,11-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0156,N0006,11-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0157,N0007,11-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0158,N0008,11-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0159,N0009,11-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0160,N0010,11-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0161,N0011,11-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0162,N0012,11-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0163,N0013,11-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0164,N0014,11-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0165,N0015,11-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0166,N0001,12-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0167,N0002,12-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0168,N0003,12-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0169,N0004,12-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0170,N0005,12-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0171,N0006,12-Mar,TRUE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0172,N0007,12-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0173,N0008,12-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0174,N0009,12-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0175,N0010,12-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0176,N0011,12-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0177,N0012,12-Mar,TRUE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0178,N0013,12-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0179,N0014,12-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0180,N0015,12-Mar,TRUE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0181,N0001,13-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0182,N0002,13-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0183,N0003,13-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0184,N0004,13-Mar,TRUE,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0185,N0005,13-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0186,N0006,13-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0187,N0007,13-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0188,N0008,13-Mar,TRUE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0189,N0009,13-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0190,N0010,13-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0191,N0011,13-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0192,N0012,13-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0193,N0013,13-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0194,N0014,13-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0195,N0015,13-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0196,N0001,14-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0197,N0002,14-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0198,N0003,14-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0199,N0004,14-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0200,N0005,14-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0201,N0006,14-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0202,N0007,14-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0203,N0008,14-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0204,N0009,14-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0205,N0010,14-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0206,N0011,14-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0207,N0012,14-Mar,TRUE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0208,N0013,14-Mar,TRUE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0209,N0014,14-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0210,N0015,14-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0211,N0001,15-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0212,N0002,15-Mar,TRUE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0213,N0003,15-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0214,N0004,15-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0215,N0005,15-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0216,N0006,15-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0217,N0007,15-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0218,N0008,15-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0219,N0009,15-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0220,N0010,15-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0221,N0011,15-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0222,N0012,15-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0223,N0013,15-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0224,N0014,15-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0225,N0015,15-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0226,N0001,16-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0227,N0002,16-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0228,N0003,16-Mar,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0229,N0004,16-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0230,N0005,16-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0231,N0006,16-Mar,TRUE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0232,N0007,16-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0233,N0008,16-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0234,N0009,16-Mar,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
